"firesize.log","fireseason.raw"
6.86480598262981,1
9.32330382630876,0
9.15731613964269,0
7.16474350843476,0
9.15286486969254,0
5.83507393897165,0
9.69634343740922,0
10.5399453269019,0
6.07713752609245,0
6.98062459560445,1
5.98549676300487,0
5.42088885966516,0
7.13893839898385,0
6.88360609629948,0
7.01815107023559,0
9.54875498738632,0
7.29873594689459,0
7.2843268996178,0
6.62147212998051,0
9.54660974230713,1
7.96250972655192,0
11.0373217711523,1
9.3773640726393,1
10.3453983429844,0
7.04278591330696,0
8.71405356504982,0
7.759865863042,0
8.34799784226349,0
6.74497745515059,1
6.7350790240693,0
8.50685191607223,0
6.61847190887065,0
9.44555097626618,0
5.89605446296338,0
6.41570243246412,0
7.7441193852783,0
8.7273438716006,0
7.17395831975679,0
6.44113799949649,1
6.92982010929198,1
9.60765839721515,0
5.97021536462015,1
9.51583046543658,0
7.58327802612825,0
6.92275230530333,0
10.5773734314967,0
6.78738260462904,1
8.11676343143755,0
7.01508390074795,0
8.06889157946329,1
8.64802672205662,0
8.52096030572279,0
7.61199078075734,0
6.94085152969002,0
6.59856349307135,0
5.63121178182137,0
9.04397639894029,0
6.40831459200849,0
5.09368878910515,0
6.86094660678518,1
6.1014169817002,0
7.44949800538285,0
6.91214565117829,1
7.42184149902189,1
9.36920395176599,0
6.5175150259944,1
7.93993924097675,0
10.5873318294617,1
7.84567056410364,0
8.94306119394448,1
9.05660866363478,0
6.98037352046652,0
6.99474916956888,1
10.380635885616,0
7.03191787832399,0
11.032656198958,0
7.47245659708882,1
7.47102879156493,0
10.185258438298,1
7.67452462217375,1
7.46554651028311,0
7.49704079282654,1
7.4544073779492,1
7.05997832096592,0
7.69933951511641,0
7.72923132967225,1
8.0744356986298,0
5.80272245934685,0
5.60407262608779,0
8.10378460556045,0
9.62873751503178,0
7.57013909962214,1
9.60878033141109,1
9.96409480290756,0
6.642108662085,1
6.1168188105473,0
8.84540568465278,1
8.51964598864817,1
6.21594716726919,0
9.34553099481661,0
7.88788806163968,0
10.9922873375041,0
8.03001574525213,1
4.97293361728952,0
9.26322213507903,0
8.2256958423104,0
4.9834695965674,0
5.9987628314718,0
4.82623137068109,1
4.93999835401172,1
6.40370656682267,0
6.92377042025081,1
8.84383588642183,1
9.89777729651236,0
9.67830155998312,0
10.0404730559083,1
7.23248737765776,0
7.31773014084711,0
8.25938053988459,0
7.81359559902347,1
7.56114242125915,0
8.52117130342569,0
7.74832634714827,0
5.09754607691535,1
5.19095484487952,1
7.3497065892329,0
8.92848100383168,0
4.66955238772092,1
6.08146537197147,1
