"S.fire.size","fire.season"
-0.562089589163403,1
1.06642095197548,0
0.956470602362622,0
-0.363410780592413,0
0.953522078305986,0
-1.24418475225551,0
1.31352262851402,0
1.87232505866287,0
-1.08384167761518,0
-0.485371265991295,1
-1.14454457758715,0
-1.51854121320067,0
-0.380504101566475,0
-0.549636381866763,0
-0.460513705239016,0
1.21575994499953,0
-0.274654103816889,0
-0.284198665931662,0
-0.723274088500742,0
1.21433893328957,1
0.165030071576157,0
2.2017875328556,1
1.10223049365647,1
1.74345701231863,0
-0.444195569461848,0
0.662853189976918,0
0.0307986470209132,0
0.420377645516125,0
-0.64146408226324,1
-0.648020809330568,0
0.525602685418239,0
-0.725261436879231,0
1.14739754214891,0
-1.20379121423389,0
-0.859576067497376,0
0.0203681700978128,0
0.671656697520586,0
-0.357306883690034,0
-0.842727531657268,1
-0.519024190157863,1
1.25477760127363,0
-1.15466698563271,1
1.19395072064126,0
-0.0861732488830556,0
-0.523705908031978,0
1.89711745904027,0
-0.613374884177593,1
0.267207824166767,0
-0.462545400265686,0
0.235497478857994,1
0.619116967027203,0
0.534948091729459,0
-0.0671539018867482,0
-0.511716970243832,0
-0.738448784214061,0
-1.37922317529588,0
0.881394285766145,0
-0.864469777731523,0
-1.73527874882161,0
-0.564646042186676,1
-1.06775895072079,0
-0.174789220028938,0
-0.530731762495609,1
-0.193108907498138,1
1.09682522438063,0
-0.792135340546551,1
0.15007936752234,0
1.90371390820963,1
0.0876357357812002,0
0.814547989553436,1
0.889761905964114,0
-0.485537578322947,0
-0.476015139180239,1
1.76679838305317,0
-0.451394562772641,0
2.19869705485565,0
-0.159581434226317,1
-0.160527213516843,0
1.63738023722226,1
-0.0257314454113982,1
-0.164158680137763,0
-0.143296847275289,1
-0.171537248506881,1
-0.432807307653057,0
-0.00929404448454721,0
0.0105063125599435,1
0.239169906933213,0
-1.26561439301191,0
-1.39720016937923,0
0.258610641620192,0
1.2687404223721,0
-0.0948764821884908,1
1.25552077120125,1
1.49088130395051,0
-0.709604436460525,1
-1.05755676946006,0
0.749860917856097,1
0.53407748726018,1
-0.99189408268471,0
1.08114424258473,0
0.115600633100399,0
2.17195669525742,0
0.209746101458497,1
-1.81526705172145,0
1.02662280134922,0
0.339364722670549,0
-1.80828801232169,0
-1.13575712536569,0
-1.91244271352845,1
-1.83708339114228,1
-0.867522136556337,0
-0.523031508040815,1
0.748821082505763,1
1.44695254537775,0
1.30157167738917,0
1.54147430749746,1
-0.318537198371935,0
-0.262072337616996,0
0.361677487847741,0
0.0663892584356891,1
-0.100835887679551,0
0.53508785674256,0
0.0231548643261741,0
-1.73272367891367,1
-1.67084965138277,1
-0.240891117792729,0
0.804890062314834,0
-2.01622697186391,1
-1.08097490974205,1
